"ID";"WijkenEnBuurten";"TotaalGeweldsEnSeksueleMisdrijven_22";"Mishandeling_23";"BedreigingEnStalking_24";"OverigeGeweldsEnSeksueleMisdrijven_25"
"14487";"BU08610000";"25";"16";"6";"3"
"14488";"BU08610001";"4";"3";"1";"0"
"14489";"BU08610002";"14";"10";"2";"2"
"14490";"BU08610003";"13";"5";"5";"3"
"14491";"BU08610004";"10";"3";"4";"3"
"14492";"BU08610005";"8";"2";"5";"1"
"14493";"BU08610006";"11";"4";"3";"4"
"14494";"BU08610009";"7";"5";"1";"1"
"14495";"WK086101  ";"23";"12";"8";"3"
"14496";"BU08610100";"6";"2";"3";"1"
"14497";"BU08610101";"5";"3";"1";"1"
"14498";"BU08610102";"6";"2";"4";"0"
"14499";"BU08610103";"6";"5";"0";"1"
"14500";"WK086102  ";"13";"4";"6";"3"
"14501";"BU08610200";"7";"3";"2";"2"
"14502";"BU08610201";"2";"0";"2";"0"
"14503";"BU08610207";"1";"0";"1";"0"
"14504";"BU08610208";"1";"0";"1";"0"
"14505";"BU08610209";"2";"1";"0";"1"
"14506";"GM0453    ";"280";"156";"73";"51"
"14507";"WK045300  ";"17";"9";"6";"2"
"14508";"BU04530000";"0";"0";"0";"0"
"14509";"BU04530001";"6";"4";"2";"0"
"14510";"BU04530002";"0";"0";"0";"0"
"14511";"BU04530003";"1";"1";"0";"0"
"14512";"BU04530004";"1";"0";"1";"0"
"14513";"BU04530005";"9";"4";"3";"2"
"14514";"WK045301  ";"47";"26";"17";"4"
"14515";"BU04530100";"8";"4";"3";"1"
"14516";"BU04530101";"1";"1";"0";"0"
"14517";"BU04530102";"6";"4";"1";"1"
"14518";"BU04530103";"17";"12";"3";"2"
"14519";"BU04530104";"8";"2";"6";"0"
"14520";"BU04530105";"3";"0";"3";"0"
"14521";"BU04530106";"4";"3";"1";"0"
"14522";"WK045302  ";"26";"10";"12";"4"
"14523";"BU04530200";"6";"4";"1";"1"
"14524";"BU04530201";"1";"0";"1";"0"
"14525";"BU04530202";"2";"1";"1";"0"
"14526";"BU04530203";"2";"1";"0";"1"
"14527";"BU04530204";"1";"1";"0";"0"
"14528";"BU04530205";"2";"0";"2";"0"
"14529";"BU04530206";"12";"3";"7";"2"
"14530";"WK045303  ";"41";"21";"8";"12"
"14531";"BU04530300";"1";"0";"1";"0"
"14532";"BU04530301";"10";"4";"3";"3"
"14533";"BU04530302";"18";"8";"3";"7"
"14534";"BU04530303";"12";"9";"1";"2"
"14535";"WK045304  ";"47";"29";"12";"6"
"14536";"BU04530400";"7";"5";"2";"0"
"14537";"BU04530401";"14";"10";"2";"2"
"14538";"BU04530402";"9";"5";"3";"1"
"14539";"BU04530403";"12";"6";"4";"2"
"14540";"BU04530404";"2";"1";"0";"1"
"14541";"BU04530405";"0";"0";"0";"0"
"14542";"BU04530406";"3";"2";"1";"0"
"14543";"WK045305  ";"31";"20";"7";"4"
"14544";"BU04530500";"11";"7";"3";"1"
"14545";"BU04530501";"7";"5";"0";"2"
"14546";"BU04530502";"7";"5";"1";"1"
"14547";"BU04530503";"1";"1";"0";"0"
"14548";"BU04530504";"3";"1";"2";"0"
"14549";"BU04530505";"2";"1";"1";"0"
"14550";"BU04530506";"0";"0";"0";"0"
"14551";"BU04530507";"0";"0";"0";"0"
"14552";"WK045306  ";"27";"20";"2";"5"
"14553";"BU04530600";"1";"1";"0";"0"
"14554";"BU04530601";"1";"1";"0";"0"
